agents,solveDynamic,solveStaticOverlap,solveStaticNonOverlap,solveStaticNoPool,solveGreedyDynamic,maxUtil,solveNN,solveIndModel
"[(0, 0.6656909509250243, 0.1948972390327326), (1, 0.046840525430866364, 0.8151151325878111), (2, 0.752631973519752, 0.09441349663298382), (3, 0.7436385017925133, 0.6003923742687033), (4, 0.9384570659244509, 0.6997654726462791)]",1.2329160663680536,1.2329160663680536,1.2329160663680536,1.2329160663680536,1.2329160663680536,1.3421551037629,0.9691275617036,0.49428291574041416
"[(0, 0.6733248975772697, 0.21460466023103242), (1, 0.6603333783456641, 0.9296872948863641), (2, 0.02296176011997131, 0.23245662300047976), (3, 0.2173877123476018, 0.3217768721890395), (4, 0.7430430175985002, 0.7927992706693381)]",1.3888833589087777,1.3474861755350542,1.3474861755350542,1.3474861755350542,1.3888833589087777,1.4227741268822318,1.140869683601612,0.3551448060043675
"[(0, 0.6594578180415062, 0.9889840883719746), (1, 0.37569413123946016, 0.7303739791261877), (2, 0.7884411511810095, 0.7112447973659521), (3, 0.9562260293075343, 0.31693349823743056), (4, 0.3737098574375126, 0.942984115068746)]",2.0167275620729104,1.9957833478406977,1.87132721510693,1.5653704150104455,1.9942340192916577,2.142827693152291,1.8277935464967965,1.2303071586183054
"[(0, 0.9233890784067212, 0.5530534705690187), (1, 0.08231695468172051, 0.41189018796489907), (2, 0.9967784630978918, 0.46547879391893066), (3, 0.480350414820214, 0.02202260843446635), (4, 0.7302028435232878, 0.2531674762145302)]",1.1595263823250013,1.159526382325001,1.159526382325001,1.159526382325001,1.1595263823250013,1.204010497358472,0.6955471455178291,0.5547722608501581
"[(0, 0.9406063618306706, 0.24880207008578925), (1, 0.2858188275014186, 0.08846656698058286), (2, 0.9724021573275546, 0.798970798929063), (3, 0.5681724384171313, 0.7470347166241493), (4, 0.9548120540168049, 0.5370666522149852)]",1.7882653297000888,1.7141631783922533,1.7141631783922533,1.7141631783922533,1.7882653297000888,1.973473398799053,1.628837432315388,1.3119366807160333
"[(0, 0.306893022454063, 0.10003110026523931), (1, 0.7766486867335897, 0.2079877901957966), (2, 0.03821103517042457, 0.43102558986986017), (3, 0.8810786736029399, 0.6370850258403072), (4, 0.18588142951319786, 0.4007762147589541)]",0.7973523293661422,0.7973523293661422,0.7973523293661422,0.7973523293661422,0.7973523293661422,0.8445211100398171,0.0,0.18663821177722223
"[(0, 0.1569909478601843, 0.16620958656419482), (1, 0.04509842569125444, 0.6786384708140152), (2, 0.3711925947675484, 0.5661166601742719), (3, 0.46363232185826, 0.09538025732388167), (4, 0.8379446741181337, 0.8304903277796689)]",0.9571580026460158,0.9502646292633328,0.9502646292633328,0.9502646292633328,0.9571580026460158,1.0069635564487274,0.828728787520723,0.623015012188112
"[(0, 0.4502489563623232, 0.008649344808038695), (1, 0.01291487203038133, 0.945343120205969), (2, 0.6596362019902795, 0.863075714729375), (3, 0.04821837517833094, 0.5498897050515392), (4, 0.5016877175551933, 0.13794174439469264)]",0.6706904311311722,0.6702988333065764,0.6702988333065764,0.6650344534999629,0.6706904311311722,0.6811377973952617,0.6051996975883518,0.6336775949798477
"[(0, 0.2013311354929499, 0.04373241848900655), (1, 0.0012522417213675086, 0.1280728496893595), (2, 0.6132879973893905, 0.8368285677269973), (3, 0.5550103440450251, 0.8342161789984189), (4, 0.3302748140028532, 0.8462252097296764)]",1.2557023987213554,1.2557023987213551,1.2557023987213554,1.2557023987213554,1.2557023987213554,1.2646674743593551,1.1450976518733775,1.0255918067781513
"[(0, 0.10979240596072137, 0.2397226291634934), (1, 0.6606765675200803, 0.4698147422145197), (2, 0.32255746980501754, 0.2759070032207448), (3, 0.7354564735905811, 0.08152020015654327), (4, 0.35116055513183553, 0.3531115766055649)]",0.5233903133812764,0.5233903133812764,0.5233903133812764,0.5233903133812764,0.5233903133812764,0.6096645965338957,0.3103955912566202,0.16353531536929944
