agents,solveDynamic,solveStaticOverlap,solveStaticNonOverlap,solveStaticNoPool,solveGreedyDynamic,maxUtil,solveNN,solveIndModel,solveConicGibbsGreedyDynamic
"[(0, 0.46925964244028184, 0.4585128538583719), (1, 0.0544607381508172, 0.5074872415392079), (2, 0.4771131257490422, 0.27884541749468783)]",0.34820238659754,0.34820238659754,0.34820238659754,0.34820238659754,0.34820238659754,0.3758405163738873,0.34820238659754,0.268566454217286,0.27526320043245706
"[(0, 0.29170313989132, 0.6638777040184519), (1, 0.4033165213922123, 0.7878155818000906), (2, 0.8614098588692686, 0.8730904206972702)]",1.1627062924177394,1.1449432165863742,1.1155931529303615,1.0698277360231403,1.1627062924177394,1.263482946789163,1.1627062924177394,0.6969952905862529,0.9768249508284477
"[(0, 0.7143255075522144, 0.0609560225377479), (1, 0.7268062221363241, 0.6693088287530687), (2, 0.4382182863359373, 0.18380236320082366)]",0.5670033778948663,0.5670033778948662,0.5670033778948662,0.5670033778948662,0.5670033778948663,0.6105458196325073,0.4864578212685058,0.0731949756545477,0.5552434519910688
"[(0, 0.5274808381045112, 0.6479096891817799), (1, 0.2213890476693231, 0.13527686319569654), (2, 0.12301820851579826, 0.3984992625341579)]",0.3907826112374575,0.3907826112374575,0.3907826112374575,0.3907826112374575,0.3907826112374575,0.420731427152046,0.3907826112374575,0.3677010577415101,0.38423548427675597
"[(0, 0.37202330728685773, 0.39337216855851664), (1, 0.1150067985806894, 0.5490922162735905), (2, 0.22500628565294112, 0.6598900959774671)]",0.2948230345767953,0.2948230345767953,0.2948230345767953,0.2948230345767953,0.2948230345767953,0.3579723724959964,0.2948230345767953,0.246107691968284,0.17310920640116195
"[(0, 0.934672227545751, 0.15392174097634692), (1, 0.5992159830742418, 0.6094674193541295), (2, 0.8362944482594269, 0.6717661680267611)]",0.9269969356892958,0.9269969356892958,0.9269969356892956,0.9269969356892956,0.9269969356892958,1.070863312195378,0.9269969356892958,0.6973412717553171,0.6939175928457019
"[(0, 0.7457861667472361, 0.868778112146225), (1, 0.09334336387328879, 0.44320307934597203), (2, 0.01496496292888394, 0.6948581800685709)]",0.6892927643165867,0.6892927643165867,0.6892927643165867,0.6892927643165867,0.6892927643165867,0.6996912912221447,0.6819308920097619,0.6882410106267958,0.6920575655126393
"[(0, 0.475493256598141, 0.5528309156917796), (1, 0.33602805677617853, 0.7330226223720232), (2, 0.9238864572697445, 0.388921536694373)]",0.6881782637382171,0.6881782637382171,0.6881782637382171,0.6221867131428858,0.6881782637382171,0.8685028805115353,0.3730123474629659,0.5596558275355166,0.5078810958435952
"[(0, 0.259486781684118, 0.44499626407619264), (1, 0.3285633360187292, 0.42578861397720025), (2, 0.8293553924197297, 0.760598572399102)]",0.774608803590773,0.7707050549330832,0.7707050549330833,0.7707050549330833,0.774608803590773,0.8861757033596704,0.7372131477429744,0.6240085636725097,0.707119601914511
"[(0, 0.17732594873333973, 0.09508850506509581), (1, 0.5606920938906313, 0.3429705244891389), (2, 0.042054144740523824, 0.13513306139130965)]",0.2091625208928864,0.2091625208928864,0.2091625208928864,0.2091625208928864,0.2091625208928864,0.2148454262158666,0.2091625208928864,0.0305688857081041,0.19280822958798843
"[(0, 0.22772196757354934, 0.5693997858228996), (1, 0.038926490710909145, 0.11638992140560334), (2, 0.8052346604469343, 0.9559548680575808)]",0.8994328331464883,0.8994328331464883,0.8994328331464883,0.8994328331464883,0.8994328331464883,0.9039634843409268,0.8994328331464883,0.6051694300691836,0.886940401895856
"[(0, 0.8084784489263642, 0.4431655619316901), (1, 0.3782933538412032, 0.5404645831075795), (2, 0.16913565084478288, 0.9609637865417404)]",0.6617199671733844,0.6617199671733844,0.6426063070329405,0.5627439659042673,0.6617199671733844,0.7252772013792717,0.6072140677494717,0.6072140677494717,0.5244903101686553
"[(0, 0.9215748539868863, 0.5249545731727099), (1, 0.5589915820004816, 0.9534845673203118), (2, 0.8326831918079481, 0.8883652849598564)]",1.671324158695083,1.671324158695083,1.6625927380644048,1.2727166876711764,1.671324158695083,1.7565016217925646,1.59438055097854,1.3235676479723244,1.6090487337396189
