agents,solveIndModel,solveNN,solveDynamic,solveStaticOverlap,solveStaticNonOverlap,solveStaticNoPool,solveGreedyDynamic,maxUtil
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.5)]",0.3515625,0.0,0.6875,0.6875,0.6875,0.6875,0.6875,0.875
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.5)]",0.4140625,0.0,0.8125,0.8125,0.8125,0.8125,0.8125,1.0
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.25, 0.75)]",0.33203125,0.0,0.625,0.625,0.625,0.625,0.625,0.8125
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.75)]",0.42578125,0.0,0.8125,0.8125,0.8125,0.8125,0.8125,1.0
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.75)]",0.51953125,0.5625,1.0,1.0,1.0,1.0,1.0,1.1875
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.4375,0.375,0.9375,0.9375,0.9375,0.9375,0.9375,1.125
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.359375,0.0,0.75,0.75,0.75,0.75,0.75,0.9375
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.453125,0.46875,0.9375,0.9375,0.9375,0.9375,0.9375,1.125
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.546875,0.65625,1.125,1.125,1.125,1.125,1.125,1.3125
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.34765625,0.234375,0.59375,0.59375,0.59375,0.5625,0.59375,0.75
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.44140625,0.5625,0.7734375,0.75,0.75,0.75,0.7734375,0.9375
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.53515625,0.703125,0.9609375,0.9375,0.9375,0.9375,0.9609375,1.125
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.482421875,0.75,0.9609375,0.9375,0.9375,0.9375,0.9609375,1.125
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.576171875,0.84375,1.1484375,1.125,1.125,1.125,1.1484375,1.3125
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.6171875,0.984375,1.3359375,1.3125,1.3125,1.3125,1.3359375,1.5
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.5)]",0.4765625,0.0,0.75,0.75,0.75,0.75,0.75,1.0
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.5)]",0.5390625,0.0,0.875,0.875,0.875,0.875,0.875,1.125
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.25, 0.75)]",0.47265625,0.0,0.71875,0.71875,0.71875,0.6875,0.71875,0.9375
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.75)]",0.55078125,0.0,0.8828125,0.875,0.875,0.875,0.8828125,1.125
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.75)]",0.64453125,0.5625,1.0703125,1.0625,1.0625,1.0625,1.0703125,1.3125
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.5625,0.0,1.0,1.0,1.0,1.0,1.0,1.25
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.484375,0.0,0.84375,0.84375,0.84375,0.8125,0.84375,1.0625
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.578125,0.0,1.0078125,1.0,1.0,1.0,1.0078125,1.25
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.671875,0.5625,1.1953125,1.1875,1.1875,1.1875,1.1953125,1.4375
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.47265625,0.0,0.71875,0.71875,0.71875,0.625,0.71875,0.875
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.56640625,0.375,0.87890625,0.859375,0.859375,0.8125,0.87890625,1.0625
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.66015625,0.5625,1.06640625,1.03125,1.03125,1.0,1.06640625,1.25
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.607421875,0.75,1.04296875,1.0,1.0,1.0,1.04296875,1.25
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.701171875,0.84375,1.23046875,1.1875,1.1875,1.1875,1.23046875,1.4375
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.7421875,0.84375,1.41796875,1.375,1.375,1.375,1.41796875,1.625
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.6875,0.375,1.125,1.125,1.125,1.125,1.125,1.375
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.609375,0.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.1875
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.703125,0.0,1.125,1.125,1.125,1.125,1.125,1.375
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.796875,0.5625,1.3125,1.3125,1.3125,1.3125,1.3125,1.5625
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.59765625,0.0,0.84375,0.84375,0.84375,0.75,0.84375,1.0
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.69140625,0.375,0.99609375,0.984375,0.984375,0.9375,0.99609375,1.1875
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.78515625,0.5625,1.18359375,1.125,1.125,1.125,1.18359375,1.375
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.708984375,0.46875,1.16015625,1.125,1.125,1.125,1.16015625,1.375
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.826171875,0.84375,1.34765625,1.3125,1.3125,1.3125,1.34765625,1.5625
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.8671875,0.84375,1.51171875,1.5,1.5,1.5,1.51171875,1.75
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.427734375,0.234375,0.65625,0.65625,0.65625,0.5625,0.65625,0.8125
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.568359375,0.52734375,0.84375,0.84375,0.84375,0.75,0.84375,1.0
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.6708984375,0.703125,1.03125,1.03125,1.03125,0.9375,1.03125,1.1875
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.75), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.5947265625,0.78515625,1.0078125,0.984375,0.984375,0.9375,1.0078125,1.1875
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.75), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.7470703125,0.84375,1.1953125,1.171875,1.171875,1.125,1.1953125,1.375
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.78515625,0.84375,1.37109375,1.3125,1.3125,1.3125,1.37109375,1.5625
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.75), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.7939453125,0.9660050675675675,1.18359375,1.125,1.125,1.125,1.18359375,1.375
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.75), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.9345703125,1.0970378861003862,1.37109375,1.3125,1.3125,1.3125,1.37109375,1.5625
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.97265625,1.1230996621621623,1.546875,1.5,1.5,1.5,1.546875,1.75
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",1.16015625,1.1953125,1.72265625,1.6875,1.6875,1.6875,1.72265625,1.9375
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.25, 0.5)]",0.265625,0.0,0.375,0.375,0.375,0.375,0.375,0.5625
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.5, 0.5)]",0.328125,0.0,0.5,0.5,0.5,0.5,0.5,0.6875
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.75, 0.5)]",0.390625,0.0,0.625,0.625,0.625,0.625,0.625,0.8125
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.25, 0.75)]",0.3046875,0.0,0.453125,0.453125,0.4375,0.4375,0.453125,0.625
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.5, 0.75)]",0.3984375,0.375,0.640625,0.625,0.625,0.625,0.640625,0.8125
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.75, 0.75)]",0.4921875,0.5625,0.828125,0.8125,0.8125,0.8125,0.828125,1.0
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.5)]",0.3671875,0.0,0.625,0.625,0.625,0.625,0.625,0.8125
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.5)]",0.4296875,0.0,0.75,0.75,0.75,0.75,0.75,0.9375
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.25, 0.75)]",0.34765625,0.0,0.578125,0.578125,0.5625,0.5625,0.578125,0.75
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.75)]",0.44140625,0.375,0.765625,0.75,0.75,0.75,0.765625,0.9375
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.75)]",0.53515625,0.5625,0.953125,0.9375,0.9375,0.9375,0.953125,1.125
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.46875,0.0,0.875,0.875,0.875,0.875,0.875,1.0625
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.390625,0.0,0.703125,0.703125,0.6875,0.6875,0.703125,0.875
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.484375,0.375,0.890625,0.875,0.875,0.875,0.890625,1.0625
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.578125,0.84375,1.078125,1.0625,1.0625,1.0625,1.078125,1.25
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.34765625,0.234375,0.5390625,0.53125,0.53125,0.5,0.5390625,0.6875
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.44140625,0.515625,0.7265625,0.703125,0.6875,0.6875,0.7265625,0.875
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.53515625,0.703125,0.9140625,0.890625,0.875,0.875,0.9140625,1.0625
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.505859375,0.65625,0.9140625,0.875,0.875,0.875,0.9140625,1.0625
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.599609375,0.84375,1.1015625,1.0625,1.0625,1.0625,1.1015625,1.25
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.6640625,1.0546875,1.2890625,1.25,1.25,1.25,1.2890625,1.4375
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.5)]",0.4921875,0.0,0.75,0.75,0.75,0.75,0.75,0.9375
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.5)]",0.5546875,0.0,0.875,0.875,0.875,0.875,0.875,1.0625
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.25, 0.75)]",0.47265625,0.0,0.6875,0.6875,0.6875,0.6875,0.6875,0.875
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.75)]",0.56640625,0.375,0.875,0.875,0.875,0.875,0.875,1.0625
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.75)]",0.66015625,0.5625,1.0625,1.0625,1.0625,1.0625,1.0625,1.25
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.59375,0.375,1.0,1.0,1.0,1.0,1.0,1.1875
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.515625,0.0,0.8125,0.8125,0.8125,0.8125,0.8125,1.0
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.609375,0.375,1.0,1.0,1.0,1.0,1.0,1.1875
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.703125,0.5625,1.1875,1.1875,1.1875,1.1875,1.1875,1.375
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.47265625,0.0,0.65625,0.65625,0.65625,0.625,0.65625,0.8125
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.56640625,0.375,0.84375,0.8125,0.8125,0.8125,0.84375,1.0
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.66015625,0.5625,1.03125,1.0,1.0,1.0,1.03125,1.1875
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.630859375,0.75,1.0078125,1.0,1.0,1.0,1.0078125,1.1875
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.724609375,0.84375,1.1953125,1.1875,1.1875,1.1875,1.1953125,1.375
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.7890625,0.984375,1.3828125,1.375,1.375,1.375,1.3828125,1.5625
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.71875,0.75,1.125,1.125,1.125,1.125,1.125,1.3125
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.640625,0.375,0.9375,0.9375,0.9375,0.9375,0.9375,1.125
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.734375,0.46875,1.125,1.125,1.125,1.125,1.125,1.3125
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.828125,0.84375,1.3125,1.3125,1.3125,1.3125,1.3125,1.5
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.56640625,0.4921875,0.78125,0.78125,0.78125,0.75,0.78125,0.9375
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.69140625,0.65625,0.9609375,0.9375,0.9375,0.9375,0.9609375,1.125
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.78515625,0.84375,1.1484375,1.125,1.125,1.125,1.1484375,1.3125
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.755859375,0.75,1.125,1.125,1.125,1.125,1.125,1.3125
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.849609375,0.84375,1.3125,1.3125,1.3125,1.3125,1.3125,1.5
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.9140625,0.984375,1.5,1.5,1.5,1.5,1.5,1.6875
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.427734375,0.234375,0.609375,0.59375,0.59375,0.5625,0.609375,0.75
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.568359375,0.55078125,0.796875,0.78125,0.78125,0.75,0.796875,0.9375
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.708984375,0.703125,0.984375,0.96875,0.96875,0.9375,0.984375,1.125
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.75), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.6181640625,0.7975536920849421,0.97265625,0.9375,0.9375,0.9375,0.97265625,1.125
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.75), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.7587890625,0.84375,1.16015625,1.125,1.125,1.125,1.16015625,1.3125
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.80859375,0.984375,1.3359375,1.3125,1.3125,1.3125,1.3359375,1.5
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.75), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.8056640625,0.890625,1.1484375,1.125,1.125,1.125,1.1484375,1.3125
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.75), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.9462890625,1.0970378861003862,1.3359375,1.3125,1.3125,1.3125,1.3359375,1.5
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.99609375,1.1230996621621623,1.51171875,1.5,1.5,1.5,1.51171875,1.6875
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",1.18359375,1.3359375,1.6875,1.6875,1.6875,1.6875,1.6875,1.875
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.5)]",0.5234375,0.375,0.75,0.75,0.75,0.75,0.75,1.0625
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.5)]",0.5859375,0.0,0.875,0.875,0.875,0.875,0.875,1.1875
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.25, 0.75)]",0.50390625,0.0,0.78125,0.78125,0.78125,0.75,0.78125,1.0
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.75)]",0.59765625,0.375,0.90625,0.90625,0.875,0.875,0.90625,1.1875
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.75)]",0.69140625,0.5625,1.09375,1.0625,1.0625,1.0625,1.09375,1.375
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.625,0.0,1.0,1.0,1.0,1.0,1.0,1.3125
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.546875,0.0,0.90625,0.90625,0.90625,0.875,0.90625,1.125
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.640625,0.375,1.03125,1.03125,1.0,1.0,1.03125,1.3125
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.734375,0.5625,1.21875,1.1875,1.1875,1.1875,1.21875,1.5
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.50390625,0.0,0.78125,0.78125,0.78125,0.6875,0.78125,0.9375
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.61328125,0.375,0.921875,0.921875,0.921875,0.875,0.921875,1.125
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.70703125,0.5625,1.1015625,1.09375,1.09375,1.0625,1.1015625,1.3125
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.677734375,0.75,1.078125,1.0625,1.0625,1.0,1.078125,1.3125
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.771484375,0.84375,1.265625,1.21875,1.203125,1.1875,1.265625,1.5
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.8359375,0.984375,1.453125,1.375,1.375,1.375,1.453125,1.6875
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.75,0.375,1.125,1.125,1.125,1.125,1.125,1.4375
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.640625,0.0,1.03125,1.03125,1.03125,1.0,1.03125,1.25
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.765625,0.375,1.125,1.125,1.125,1.125,1.125,1.4375
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.859375,0.5625,1.3125,1.3125,1.3125,1.3125,1.3125,1.625
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.62890625,0.0,0.90625,0.90625,0.90625,0.8125,0.90625,1.0625
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.73828125,0.375,1.046875,1.046875,1.046875,1.0,1.046875,1.25
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.83203125,0.5625,1.21875,1.21875,1.21875,1.1875,1.21875,1.4375
"[(0, 0.25, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.802734375,0.75,1.1953125,1.1875,1.1875,1.125,1.1953125,1.4375
