agents,solveIndModel,solveNN,solveDynamic,solveStaticOverlap,solveStaticNonOverlap,solveStaticNoPool,solveGreedyDynamic,maxUtil
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.25, 0.5), (4, 0.75, 0.75)]",0.26171875,0.5625,0.7578125,0.75,0.75,0.75,0.7578125,0.875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.5, 0.5), (4, 0.5, 0.5)]",0.20703125,0.25,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.5, 0.5), (4, 0.75, 0.5)]",0.23828125,0.375,0.6875,0.6875,0.6875,0.6875,0.6875,0.8125
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.5, 0.5), (4, 0.25, 0.75)]",0.197265625,0.0,0.5078125,0.5,0.5,0.5,0.5078125,0.625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.5, 0.5), (4, 0.5, 0.75)]",0.244140625,0.0,0.6953125,0.6875,0.6875,0.6875,0.6953125,0.8125
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.5, 0.5), (4, 0.75, 0.75)]",0.291015625,0.5625,0.8828125,0.875,0.875,0.875,0.8828125,1.0
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.265625,0.375,0.8125,0.8125,0.8125,0.8125,0.8125,0.9375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.2265625,0.0,0.6328125,0.625,0.625,0.625,0.6328125,0.75
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.2734375,0.0,0.8203125,0.8125,0.8125,0.8125,0.8203125,0.9375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.3203125,0.65625,1.0078125,1.0,1.0,1.0,1.0078125,1.125
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.197265625,0.375,0.45703125,0.4375,0.4375,0.4375,0.45703125,0.5625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.244140625,0.5625,0.64453125,0.625,0.625,0.625,0.64453125,0.75
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.291015625,0.703125,0.83203125,0.8125,0.8125,0.8125,0.83203125,0.9375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.2880859375,0.75,0.83203125,0.8125,0.8125,0.8125,0.83203125,0.9375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.3349609375,0.84375,1.01953125,1.0,1.0,1.0,1.01953125,1.125
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.37890625,1.125,1.20703125,1.1875,1.1875,1.1875,1.20703125,1.3125
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.5, 0.25), (4, 0.5, 0.25)]",0.1943359375,0.0,0.375,0.375,0.375,0.375,0.375,0.5
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.5, 0.25), (4, 0.75, 0.25)]",0.2099609375,0.1875,0.4375,0.4375,0.4375,0.4375,0.4375,0.5625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.5, 0.25), (4, 0.25, 0.5)]",0.197265625,0.125,0.375,0.375,0.375,0.375,0.375,0.5
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.5, 0.25), (4, 0.5, 0.5)]",0.228515625,0.25,0.5,0.5,0.5,0.5,0.5,0.625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.5, 0.25), (4, 0.75, 0.5)]",0.259765625,0.375,0.625,0.625,0.625,0.625,0.625,0.75
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.5, 0.25), (4, 0.25, 0.75)]",0.2158203125,0.0,0.4375,0.4375,0.4375,0.4375,0.4375,0.5625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.5, 0.25), (4, 0.5, 0.75)]",0.2626953125,0.0,0.625,0.625,0.625,0.625,0.625,0.75
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.5, 0.25), (4, 0.75, 0.75)]",0.3095703125,0.0,0.8125,0.8125,0.8125,0.8125,0.8125,0.9375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.75, 0.25), (4, 0.75, 0.25)]",0.22265625,0.375,0.5,0.5,0.5,0.5,0.5,0.625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.75, 0.25), (4, 0.25, 0.5)]",0.2109375,0.125,0.4375,0.4375,0.4375,0.4375,0.4375,0.5625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.75, 0.25), (4, 0.5, 0.5)]",0.2421875,0.25,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.75, 0.25), (4, 0.75, 0.5)]",0.2734375,0.375,0.6875,0.6875,0.6875,0.6875,0.6875,0.8125
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.75, 0.25), (4, 0.25, 0.75)]",0.23046875,0.0,0.5,0.5,0.5,0.5,0.5,0.625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.75, 0.25), (4, 0.5, 0.75)]",0.27734375,0.0,0.6875,0.6875,0.6875,0.6875,0.6875,0.8125
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.75, 0.25), (4, 0.75, 0.75)]",0.32421875,0.0,0.875,0.875,0.875,0.875,0.875,1.0
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.25, 0.5), (4, 0.25, 0.5)]",0.2109375,0.0,0.375,0.375,0.375,0.375,0.375,0.5
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.25, 0.5), (4, 0.5, 0.5)]",0.2421875,0.25,0.5,0.5,0.5,0.5,0.5,0.625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.25, 0.5), (4, 0.75, 0.5)]",0.2734375,0.375,0.625,0.625,0.625,0.625,0.625,0.75
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.25, 0.5), (4, 0.25, 0.75)]",0.23046875,0.0,0.4375,0.4375,0.4375,0.4375,0.4375,0.5625
