agents,solveIndModel,solveDynamic,solveStaticOverlap,solveStaticNonOverlap,solveStaticNoPool,solveGreedyDynamic,maxUtil,solveNN
"[(0, 0.25, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.75)]",0.6796875,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375
"[(0, 0.25, 0.25), (1, 0.25, 0.75), (2, 0.25, 0.75)]",0.33984375,0.375,0.375,0.375,0.375,0.375,0.4375,0.328125
"[(0, 0.25, 0.25), (1, 0.25, 0.75), (2, 0.5, 0.75)]",0.49218749999999994,0.5625,0.5625,0.5625,0.5625,0.5625,0.625,0.28125
"[(0, 0.25, 0.25), (1, 0.25, 0.75), (2, 0.75, 0.75)]",0.64453125,0.75,0.75,0.75,0.75,0.75,0.8125,0.75
"[(0, 0.25, 0.25), (1, 0.5, 0.75), (2, 0.5, 0.75)]",0.6328125,0.75,0.75,0.75,0.75,0.75,0.8125,0.75
"[(0, 0.25, 0.25), (1, 0.5, 0.75), (2, 0.75, 0.75)]",0.7851562499999999,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375
"[(0, 0.25, 0.25), (1, 0.75, 0.75), (2, 0.75, 0.75)]",0.9257812499999999,1.125,1.125,1.125,1.125,1.125,1.1875,1.125
"[(0, 0.5, 0.25), (1, 0.5, 0.25), (2, 0.5, 0.25)]",0.11718749999999999,0.25,0.25,0.25,0.25,0.25,0.375,0.25
"[(0, 0.5, 0.25), (1, 0.5, 0.25), (2, 0.75, 0.25)]",0.14453125,0.3125,0.3125,0.3125,0.3125,0.3125,0.4375,0.1875
"[(0, 0.5, 0.25), (1, 0.5, 0.25), (2, 0.25, 0.5)]",0.1796875,0.25,0.25,0.25,0.25,0.25,0.375,0.125
"[(0, 0.5, 0.25), (1, 0.5, 0.25), (2, 0.5, 0.5)]",0.25,0.375,0.375,0.375,0.375,0.375,0.5,0.25
"[(0, 0.5, 0.25), (1, 0.5, 0.25), (2, 0.75, 0.5)]",0.2890625,0.5,0.5,0.5,0.5,0.5,0.625,0.375
"[(0, 0.5, 0.25), (1, 0.5, 0.25), (2, 0.25, 0.75)]",0.26953125,0.3125,0.3125,0.3125,0.3125,0.3125,0.4375,0.3125
"[(0, 0.5, 0.25), (1, 0.5, 0.25), (2, 0.5, 0.75)]",0.296875,0.5,0.5,0.5,0.5,0.5,0.625,0.5
"[(0, 0.5, 0.25), (1, 0.5, 0.25), (2, 0.75, 0.75)]",0.33203125,0.6875,0.6875,0.6875,0.6875,0.6875,0.8125,0.6875
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.25)]",0.2421875,0.375,0.375,0.375,0.375,0.375,0.5,0.1875
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5)]",0.265625,0.3125,0.3125,0.3125,0.3125,0.3125,0.4375,0.0
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5)]",0.2890625,0.4375,0.4375,0.4375,0.4375,0.4375,0.5625,0.4375
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5)]",0.3203125,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875,0.5625
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.75)]",0.3125,0.375,0.375,0.375,0.375,0.375,0.5,0.375
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.75)]",0.34765625,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875,0.5625
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.75)]",0.3828125,0.75,0.75,0.75,0.75,0.75,0.875,0.75
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5)]",0.203125,0.25,0.25,0.25,0.25,0.25,0.375,0.15625
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5)]",0.28125,0.375,0.375,0.375,0.375,0.375,0.5,0.25
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5)]",0.359375,0.5,0.5,0.5,0.5,0.5,0.625,0.5
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.75)]",0.3046875,0.328125,0.3125,0.3125,0.3125,0.328125,0.4375,0.3125
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.75)]",0.421875,0.515625,0.5,0.5,0.5,0.515625,0.625,0.5
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.75)]",0.4375,0.703125,0.6875,0.6875,0.6875,0.703125,0.8125,0.65625
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5)]",0.34375,0.5,0.5,0.5,0.5,0.5,0.625,0.5
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5)]",0.42187500000000006,0.625,0.625,0.625,0.625,0.625,0.75,0.625
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.25, 0.75)]",0.3984375,0.4375,0.4375,0.4375,0.4375,0.4375,0.5625,0.4375
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.75)]",0.515625,0.625,0.625,0.625,0.625,0.625,0.75,0.625
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.75)]",0.6328125,0.8125,0.8125,0.8125,0.8125,0.8125,0.9375,0.8125
"[(0, 0.5, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.5)]",0.484375,0.75,0.75,0.75,0.75,0.75,0.875,0.75
"[(0, 0.5, 0.25), (1, 0.75, 0.5), (2, 0.25, 0.75)]",0.21875,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875,0.5625
"[(0, 0.5, 0.25), (1, 0.75, 0.5), (2, 0.5, 0.75)]",0.21875,0.75,0.75,0.75,0.75,0.75,0.875,0.75
"[(0, 0.5, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.75)]",0.7265625,0.9375,0.9375,0.9375,0.9375,0.9375,1.0625,0.9375
"[(0, 0.5, 0.25), (1, 0.25, 0.75), (2, 0.25, 0.75)]",0.38671875,0.40625,0.40625,0.40625,0.375,0.40625,0.5,0.28125
"[(0, 0.5, 0.25), (1, 0.25, 0.75), (2, 0.5, 0.75)]",0.5390625,0.5859375,0.5625,0.5625,0.5625,0.5859375,0.6875,0.515625
